ODPair_CO_TAZID,CO_TAZID_I,CO_TAZID_X,External
492297_-808924,492297,-808924,24
492297_-808924,492297,-808924,24
492302_-808923,492302,-808923,23
492302_-808923,492302,-808923,23
492336_-808927,492336,-808927,3
492486_-808944,492486,-808944,24
492504_-808967,492504,-808967,27
492507_-808927,492507,-808927,3
492864_-808785,492864,-808785,18
492867_-808785,492867,-808785,18
50040_-808956,50040,-808956,22
50040_-808956,50040,-808956,22
50099_-808956,50099,-808956,22
50099_-808956,50099,-808956,22
50106_-808956,50106,-808956,22
50110_-808956,50110,-808956,22
50110_-808956,50110,-808956,22
50151_-808957,50151,-808957,23
50155_-808956,50155,-808956,22
50155_-808956,50155,-808956,22
50244_-808954,50244,-808954,21
50253_-808956,50253,-808956,22
50264_-808955,50264,-808955,24
50284_-808956,50284,-808956,22
50284_-808956,50284,-808956,22
50297_-808956,50297,-808956,22
50299_-808956,50299,-808956,22
50299_-808956,50299,-808956,22
50300_-808954,50300,-808954,21
50317_-808954,50317,-808954,21
50318_-808956,50318,-808956,22
50330_-808954,50330,-808954,21
50330_-808954,50330,-808954,21
50330_-808956,50330,-808956,22
50339_-808956,50339,-808956,22
50339_-808956,50339,-808956,22
50383_-808956,50383,-808956,22
50391_-808794,50391,-808794,20
50400_-808956,50400,-808956,22
50403_-808941,50403,-808941,24
50403_-808954,50403,-808954,21
50434_-808956,50434,-808956,22
50434_-808956,50434,-808956,22
50436_-808923,50436,-808923,23
50443_-808955,50443,-808955,24
50482_-808940,50482,-808940,24
50577_-808956,50577,-808956,22
50587_-808925,50587,-808925,24
50738_-808956,50738,-808956,22
50739_-808956,50739,-808956,22
50877_-808783,50877,-808783,18
50877_-808783,50877,-808783,18
51020_-808927,51020,-808927,3
530016_-808927,530016,-808927,3
530037_-808927,530037,-808927,3
530051_-808927,530051,-808927,3
530051_-808927,530051,-808927,3
530054_-808927,530054,-808927,3
530054_-808927,530054,-808927,3
530067_-808924,530067,-808924,24
530067_-808927,530067,-808927,3
530067_-808927,530067,-808927,3
530074_-808968,530074,-808968,3
530085_-808927,530085,-808927,3
530085_-808927,530085,-808927,3
530087_-808927,530087,-808927,3
530099_-808927,530099,-808927,3
530099_-808927,530099,-808927,3
530105_-808927,530105,-808927,3
530105_-808927,530105,-808927,3
530108_-808927,530108,-808927,3
530108_-808927,530108,-808927,3
530120_-808932,530120,-808932,4
530125_-808934,530125,-808934,3
530126_-808927,530126,-808927,3
530131_-808934,530131,-808934,3
530142_-808952,530142,-808952,12
530148_-808968,530148,-808968,3
530153_-808927,530153,-808927,3
530153_-808927,530153,-808927,3
530154_-808927,530154,-808927,3
530154_-808927,530154,-808927,3
530160_-808927,530160,-808927,3
530160_-808927,530160,-808927,3
530166_-808927,530166,-808927,3
530166_-808927,530166,-808927,3
530171_-808927,530171,-808927,3
530171_-808927,530171,-808927,3
530198_-808927,530198,-808927,3
530198_-808927,530198,-808927,3
530217_-808927,530217,-808927,3
530225_-808927,530225,-808927,3
530225_-808927,530225,-808927,3
530233_-808927,530233,-808927,3
530234_-808927,530234,-808927,3
530235_-808844,530235,-808844,12
530247_-808927,530247,-808927,3
530249_-808934,530249,-808934,3
530249_-808934,530249,-808934,3
530253_-808927,530253,-808927,3
530253_-808968,530253,-808968,3
530256_-808927,530256,-808927,3
530259_-808927,530259,-808927,3
530261_-808927,530261,-808927,3
530282_-808927,530282,-808927,3
530285_-808927,530285,-808927,3
530285_-808927,530285,-808927,3
530296_-808927,530296,-808927,3
530296_-808927,530296,-808927,3
530304_-808968,530304,-808968,3
530308_-808934,530308,-808934,3
530312_-808927,530312,-808927,3
530312_-808932,530312,-808932,4
530312_-808967,530312,-808967,27
530314_-808934,530314,-808934,3
530315_-808927,530315,-808927,3
530315_-808927,530315,-808927,3
530316_-808968,530316,-808968,3
530325_-808927,530325,-808927,3
530335_-808927,530335,-808927,3
530352_-808916,530352,-808916,12
530355_-808927,530355,-808927,3
530359_-808927,530359,-808927,3
530359_-808927,530359,-808927,3
530378_-808844,530378,-808844,12
530378_-808927,530378,-808927,3
530382_-808932,530382,-808932,4
530397_-808927,530397,-808927,3
530398_-808927,530398,-808927,3
530410_-808938,530410,-808938,3
530411_-808934,530411,-808934,3
530429_-808927,530429,-808927,3
530436_-808927,530436,-808927,3
530436_-808927,530436,-808927,3
530479_-808927,530479,-808927,3
530479_-808927,530479,-808927,3
530504_-808927,530504,-808927,3
530504_-808927,530504,-808927,3
530504_-808934,530504,-808934,3
530530_-808927,530530,-808927,3
530542_-808927,530542,-808927,3
530560_-808927,530560,-808927,3
530606_-808968,530606,-808968,3
530653_-808927,530653,-808927,3
530673_-808968,530673,-808968,3
530673_-808968,530673,-808968,3
530813_-808968,530813,-808968,3
57004_-808932,57004,-808932,5
570177_-808956,570177,-808956,22
570192_-808956,570192,-808956,22
570288_-808956,570288,-808956,22
570346_-808967,570346,-808967,27
570396_-808956,570396,-808956,22
570401_-808927,570401,-808927,3
570412_-808938,570412,-808938,27
570415_-808927,570415,-808927,3
